path,size_bytes,subfolder,must_read,priority,purpose
06_experiment_evidence/b0_qwen7b_smoke10_strongest_direct.jsonl,4383,06_experiment_evidence,optional,3,Доказательная база per-item
06_experiment_evidence/b2v2_qwen7b_multidb30_strongest_layered.jsonl,16233,06_experiment_evidence,optional,3,Доказательная база per-item
06_experiment_evidence/b3_qwen7b_smoke10_negative_case.jsonl,11177,06_experiment_evidence,optional,3,Доказательная база per-item
06_experiment_evidence/deepseek_blocker_evidence.md,2043,06_experiment_evidence,optional,3,Доказательная база per-item
06_experiment_evidence/evidence_shortlist.md,1684,06_experiment_evidence,optional,3,Доказательная база per-item
07_design_and_arch/architecture_document.md,9199,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/architecture_document_v2.md,6310,07_design_and_arch,YES,2,Архитектурный документ defense-final
07_design_and_arch/architecture_ops_short_defense_notes.md,1804,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/design_docs_guide.md,1931,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/functional_specification.md,3311,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/installation_and_runtime.md,3635,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/io_contracts.md,3588,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/operations_manual.md,6037,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/operations_manual_v2.md,5527,07_design_and_arch,YES,2,Operations manual defense-final
07_design_and_arch/plan_schema.json,3549,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/plan_schema_v1.json,3700,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/testing_methodology.md,4136,07_design_and_arch,optional,3,Вспомогательный файл
07_design_and_arch/use_cases_and_scenarios.md,3864,07_design_and_arch,optional,3,Вспомогательный файл
08_appendices/appendix_map.md,2095,08_appendices,optional,3,Приложение к ВКР
08_appendices/bird_mini_dev_acquisition.md,859,08_appendices,optional,3,Приложение к ВКР
08_appendices/deepseek_blocker_final_h100.md,2043,08_appendices,optional,3,Приложение к ВКР
08_appendices/deepseek_blocker_reproduction_checklist.csv,1479,08_appendices,optional,3,Приложение к ВКР
08_appendices/external_adapter_design.md,1866,08_appendices,optional,3,Приложение к ВКР
08_appendices/external_benchmark_acquisition_summary.md,1107,08_appendices,optional,3,Приложение к ВКР
08_appendices/external_validation_scientific_readout.md,4246,08_appendices,optional,3,Приложение к ВКР
08_appendices/full_closure_gap_matrix.csv,19118,08_appendices,optional,3,Приложение к ВКР
08_appendices/full_closure_gap_matrix.md,6961,08_appendices,optional,3,Приложение к ВКР
08_appendices/full_closure_plan.md,2723,08_appendices,optional,3,Приложение к ВКР
08_appendices/llama_blocker_final.md,1098,08_appendices,optional,3,Приложение к ВКР
08_appendices/model_block_closure.md,2462,08_appendices,optional,3,Приложение к ВКР
08_appendices/multidb30_scientific_readout_final.md,1535,08_appendices,optional,3,Приложение к ВКР
08_appendices/qwen14b_blocker.md,1836,08_appendices,optional,3,Приложение к ВКР
08_appendices/spider2_lite_acquisition.md,859,08_appendices,optional,3,Приложение к ВКР
08_appendices/spider2_lite_eval_limitations.md,1795,08_appendices,optional,3,Приложение к ВКР
