instance_id,db_id,gold_sql_present,gold_sql_chars,gold_table_refs_n,gold_datasets,pred_table_refs_n,table_overlap_status,gold_in_ir_n,ir_tables_total_n,has_gold_result,execution_match,executable,parses,bucket
bq400,san_francisco_plus,True,1020,3,bigquery-public-data.san_francisco_transit_muni,3,gold_subset_of_pred,3,19,True,False,False,True,function_signature
bq059,san_francisco_plus,True,1170,3,bigquery-public-data.san_francisco_bikeshare,1,partial,3,19,True,False,False,True,unrecognized_column
bq376,san_francisco_plus,True,1098,3,bigquery-public-data.san_francisco|bigquery-public-data.san_francisco_neighborhoods,2,partial,1,19,True,False,False,True,unrecognized_column
bq025,census_bureau_international,True,680,2,bigquery-public-data.census_bureau_international,2,no_overlap,2,8,True,False,False,True,other_bad_request
bq115,census_bureau_international,True,667,2,bigquery-public-data.census_bureau_international,2,no_overlap,2,8,True,False,False,True,other_bad_request
bq030,covid19_open_data,False,0,0,,1,no_gold,0,1,True,False,True,True,exec_ok_but_rows_mismatch
bq018,covid19_open_data,True,715,1,bigquery-public-data.covid19_open_data,1,gold_subset_of_pred,1,1,True,False,True,True,exec_ok_but_rows_mismatch
bq086,covid19_open_world_bank,True,566,2,bigquery-public-data.covid19_open_data|bigquery-public-data.world_bank_global_population,2,partial,2,22,True,False,False,True,permission_denied
bq085,covid19_jhu_world_bank,True,907,2,bigquery-public-data.covid19_jhu_csse|bigquery-public-data.world_bank_wdi,2,no_overlap,2,25,True,False,False,True,permission_denied
bq130,covid19_nyt,True,2393,2,bigquery-public-data.covid19_nyt,1,partial,2,4,True,False,False,True,other_bad_request
bq087,covid19_symptom_search,True,1033,1,bigquery-public-data.covid19_symptom_search,1,no_overlap,1,6,True,False,False,True,function_signature
bq088,covid19_symptom_search,True,1201,1,bigquery-public-data.covid19_symptom_search,1,no_overlap,1,6,True,False,False,True,function_signature
bq089,covid19_usa,True,1018,2,bigquery-public-data.census_bureau_acs|bigquery-public-data.covid19_vaccination_access,1,no_overlap,2,285,True,False,False,True,unrecognized_column
bq407,covid19_usa,True,901,2,bigquery-public-data.census_bureau_acs|bigquery-public-data.covid19_usafacts,3,no_overlap,2,285,True,False,False,True,table_or_dataset_not_found
bq137,census_bureau_usa,False,0,0,,2,no_gold,0,14,True,False,False,True,function_signature
bq060,census_bureau_international,True,792,2,bigquery-public-data.census_bureau_international,2,gold_subset_of_pred,2,8,True,True,True,True,EX_MATCH
bq338,census_bureau_acs_1,True,1739,2,bigquery-public-data.census_bureau_acs,1,no_overlap,2,351,True,False,False,True,table_or_dataset_not_found
bq061,census_bureau_acs_1,True,1121,3,bigquery-public-data.census_bureau_acs|bigquery-public-data.geo_census_tracts,1,no_overlap,3,351,True,False,False,True,unrecognized_column
bq064,census_bureau_acs_1,True,2145,3,bigquery-public-data.census_bureau_acs|bigquery-public-data.geo_census_tracts|bigquery-public-data.geo_us_boundaries,4,no_overlap,3,351,True,False,False,True,permission_denied
bq461,ncaa_basketball,False,0,0,,1,no_gold,0,10,True,False,False,True,other_bad_request
bq198,ncaa_basketball,True,614,1,bigquery-public-data.ncaa_basketball,1,gold_subset_of_pred,1,10,True,False,True,True,exec_ok_but_rows_mismatch
bq462,ncaa_basketball,False,0,0,,1,no_gold,0,10,True,False,False,True,other_bad_request
bq427,ncaa_basketball,False,0,0,,1,no_gold,0,10,True,False,False,True,unrecognized_column
bq428,ncaa_basketball,True,1579,2,bigquery-public-data.ncaa_basketball,2,no_overlap,2,10,True,False,False,True,other_bad_request
bq144,ncaa_insights,True,1857,3,data-to-insights.ncaa,3,partial,3,15,True,False,False,True,syntax_error
bq113,bls,True,989,4,bigquery-public-data.bls_qcew|bigquery-public-data.geo_us_boundaries,0,no_overlap,2,143,True,False,False,True,other_bad_request
bq112,bls,True,1773,4,bigquery-public-data.bls|bigquery-public-data.bls_qcew|bigquery-public-data.geo_us_boundaries,1,no_overlap,2,143,True,False,False,True,other_bad_request
bq055,google_dei,False,0,0,,1,no_gold,0,141,True,False,False,True,unrecognized_column
bq075,google_dei,False,0,0,,3,no_gold,0,141,True,False,False,True,unrecognized_column
bq406,google_dei,True,1593,1,bigquery-public-data.google_dei,1,no_overlap,1,141,True,False,False,True,unrecognized_column
bq022,chicago,True,428,1,bigquery-public-data.chicago_taxi_trips,1,gold_subset_of_pred,1,2,True,False,False,True,aggregation_error
bq362,chicago,True,987,1,bigquery-public-data.chicago_taxi_trips,1,gold_subset_of_pred,1,2,True,False,False,True,other:InternalServerError
bq363,chicago,True,902,1,bigquery-public-data.chicago_taxi_trips,1,gold_subset_of_pred,1,2,True,False,False,True,function_signature
bq076,chicago,True,413,1,bigquery-public-data.chicago_crime,1,gold_subset_of_pred,1,2,True,False,False,True,aggregation_error
bq077,chicago,True,409,1,bigquery-public-data.chicago_crime,1,gold_subset_of_pred,1,2,True,False,True,True,exec_ok_but_rows_mismatch
bq109,open_targets_genetics_1,True,997,2,open-targets-genetics.genetics,1,no_overlap,2,13,True,False,False,True,permission_denied
bq090,CYMBAL_INVESTMENTS,True,658,1,bigquery-public-data.cymbal_investments,1,gold_subset_of_pred,1,1,True,False,False,True,function_signature
bq442,CYMBAL_INVESTMENTS,True,629,1,bigquery-public-data.cymbal_investments,1,gold_subset_of_pred,1,1,True,False,True,True,exec_ok_but_rows_mismatch
bq079,usfs_fia,False,0,0,,2,no_gold,0,11,True,False,False,True,table_or_dataset_not_found
bq024,usfs_fia,False,0,0,,2,no_gold,0,11,True,False,False,True,table_or_dataset_not_found
bq220,usfs_fia,False,0,0,,1,no_gold,0,11,True,False,False,True,unrecognized_column
bq096,gbif,True,454,1,bigquery-public-data.gbif,1,gold_subset_of_pred,1,1,True,False,False,True,other:InternalServerError
bq277,noaa_ports,False,0,0,,3,no_gold,0,18,True,False,False,True,permission_denied
bq278,sunroof_solar,False,0,0,,2,no_gold,0,2,True,False,True,True,exec_ok_but_rows_mismatch
bq102,gnomAD,True,855,1,bigquery-public-data.gnomAD,1,no_overlap,1,71,True,False,False,True,unrecognized_column
bq445,gnomAD,False,0,0,,1,no_gold,0,71,True,False,False,True,unrecognized_column
bq103,gnomAD,True,643,1,bigquery-public-data.gnomAD,1,gold_subset_of_pred,1,71,True,False,False,True,unrecognized_column
bq105,nhtsa_traffic_fatalities_plus,True,1775,6,bigquery-public-data.census_bureau_usa|bigquery-public-data.nhtsa_traffic_fatalities|bigquery-public-data.utility_us,3,partial,6,122,True,False,False,True,unrecognized_column
bq108,nhtsa_traffic_fatalities,False,0,0,,2,no_gold,0,108,True,False,False,True,table_or_dataset_not_found
bq067,nhtsa_traffic_fatalities,False,0,0,,2,no_gold,0,108,True,False,False,True,table_or_dataset_not_found
bq396,nhtsa_traffic_fatalities,True,1240,1,bigquery-public-data.nhtsa_traffic_fatalities,2,no_overlap,1,108,True,False,False,True,unrecognized_column
bq441,nhtsa_traffic_fatalities,False,0,0,,1,no_gold,0,108,True,False,True,True,exec_ok_but_rows_mismatch
bq097,sdoh,True,763,1,bigquery-public-data.sdoh_bea_cainc30,1,no_overlap,1,294,True,False,False,True,unrecognized_column
bq120,sdoh,True,734,2,bigquery-public-data.census_bureau_acs|bigquery-public-data.sdoh_snap_enrollment,4,partial,2,294,True,False,False,True,table_or_dataset_not_found
bq110,sdoh,True,672,1,bigquery-public-data.sdoh_hud_pit_homelessness,1,no_overlap,1,294,True,False,False,True,table_or_dataset_not_found
bq395,sdoh,True,1001,1,bigquery-public-data.sdoh_hud_pit_homelessness,1,no_overlap,1,294,True,False,True,True,exec_ok_but_rows_mismatch
bq352,sdoh,True,710,2,bigquery-public-data.census_bureau_acs|bigquery-public-data.sdoh_cdc_wonder_natality,2,no_overlap,2,294,True,False,False,True,table_or_dataset_not_found
bq074,sdoh,True,1485,3,bigquery-public-data.census_bureau_acs|bigquery-public-data.sdoh_cms_dual_eligible_enrollment,1,no_overlap,3,294,True,False,False,True,unrecognized_column
bq066,sdoh,True,2282,4,bigquery-public-data.census_bureau_acs|bigquery-public-data.sdoh_cdc_wonder_natality,2,no_overlap,4,294,True,False,False,True,permission_denied
bq114,openaq,True,648,2,bigquery-public-data.epa_historical_air_quality|bigquery-public-data.openaq,2,partial,2,33,True,False,False,True,table_or_dataset_not_found
bq116,sec_quarterly_financials,False,0,0,,2,no_gold,0,10,True,False,False,True,other:InternalServerError
bq041,stackoverflow,False,0,0,,3,no_gold,0,16,True,False,False,True,function_signature
bq123,stackoverflow,True,632,2,bigquery-public-data.stackoverflow,2,gold_subset_of_pred,2,16,True,False,False,True,function_signature
bq280,stackoverflow,True,712,2,bigquery-public-data.stackoverflow,2,partial,2,16,True,False,True,True,exec_ok_but_rows_mismatch
bq300,stackoverflow,True,909,2,bigquery-public-data.stackoverflow,1,partial,2,16,True,False,True,True,exec_ok_but_rows_mismatch
bq301,stackoverflow,True,1248,3,bigquery-public-data.stackoverflow,3,gold_subset_of_pred,3,16,True,False,False,True,other_bad_request
bq302,stackoverflow,True,965,1,bigquery-public-data.stackoverflow,1,gold_subset_of_pred,1,16,True,False,True,True,exec_ok_but_rows_mismatch
bq303,stackoverflow,True,2026,3,bigquery-public-data.stackoverflow,4,partial,3,16,True,False,False,True,other:InternalServerError
bq304,stackoverflow,True,2254,2,bigquery-public-data.stackoverflow,1,partial,2,16,True,False,False,True,unrecognized_column
bq310,stackoverflow,True,1211,2,bigquery-public-data.stackoverflow,1,partial,2,16,True,False,False,True,function_signature
bq305,stackoverflow,False,0,0,,2,no_gold,0,16,True,False,False,True,function_signature
bq306,stackoverflow,False,0,0,,3,no_gold,0,16,True,False,False,True,unrecognized_column
bq308,stackoverflow,True,765,2,bigquery-public-data.stackoverflow,2,partial,2,16,True,False,False,True,table_or_dataset_not_found
bq309,stackoverflow,True,1159,4,bigquery-public-data.stackoverflow,4,gold_subset_of_pred,4,16,True,False,False,True,other:InternalServerError
bq124,fhir_synthea,True,1539,4,bigquery-public-data.fhir_synthea|medication.codeableConcept,9,partial,3,17,True,False,False,True,table_or_dataset_not_found
bq391,fhir_synthea,False,0,0,,4,no_gold,0,17,True,False,False,True,table_or_dataset_not_found
bq126,the_met,True,578,2,bigquery-public-data.the_met,2,gold_subset_of_pred,2,3,True,False,True,True,exec_ok_but_rows_mismatch
bq366,the_met,True,584,2,bigquery-public-data.the_met,2,gold_subset_of_pred,2,3,True,False,True,True,exec_ok_but_rows_mismatch
bq414,the_met,True,463,2,bigquery-public-data.the_met,3,gold_subset_of_pred,2,3,True,False,True,True,exec_ok_but_rows_mismatch
bq200,mlb,False,0,0,,3,no_gold,0,3,True,False,False,True,table_or_dataset_not_found
bq204,eclipse_megamovie,True,723,3,bigquery-public-data.eclipse_megamovie,3,gold_subset_of_pred,3,7,True,True,True,True,EX_MATCH
bq389,epa_historical_air_quality,True,2477,6,bigquery-public-data.epa_historical_air_quality,1,partial,6,32,True,False,False,True,function_signature
bq199,iowa_liquor_sales,True,1260,1,bigquery-public-data.iowa_liquor_sales,1,gold_subset_of_pred,1,1,True,False,False,True,other:InternalServerError
bq218,iowa_liquor_sales,True,1372,1,bigquery-public-data.iowa_liquor_sales,1,no_overlap,1,1,True,False,False,True,table_or_dataset_not_found
bq049,iowa_liquor_sales_plus,True,2363,2,bigquery-public-data.census_bureau_usa|bigquery-public-data.iowa_liquor_sales,2,gold_subset_of_pred,2,3,True,False,False,True,function_signature
bq360,nppes,True,1101,1,bigquery-public-data.nppes,2,no_overlap,1,20,True,False,False,True,table_or_dataset_not_found
bq286,usa_names,True,459,1,bigquery-public-data.usa_names,1,no_overlap,1,2,True,False,True,True,exec_ok_but_rows_mismatch
bq143,CPTAC_PDC,True,1747,3,isb-cgc-bq.CPTAC|isb-cgc-bq.PDC_metadata,2,partial,3,79,True,False,False,False,syntax_error
bq046,TCGA_bioclin_v0,False,0,0,,3,no_gold,0,79,True,False,False,True,table_or_dataset_not_found
bq161,pancancer_atlas_2,True,1411,2,isb-cgc-bq.pancancer_atlas,2,no_overlap,2,21,True,False,False,True,other:InternalServerError
bq151,pancancer_atlas_2,True,2642,2,isb-cgc-bq.pancancer_atlas,2,no_overlap,2,21,True,False,False,True,other:InternalServerError
bq162,HTAN_1,False,0,0,,0,no_gold,0,200,True,False,False,False,syntax_error
bq165,mitelman,False,0,0,,2,no_gold,0,19,True,False,False,False,syntax_error
bq169,mitelman,False,0,0,,2,no_gold,0,19,True,False,False,True,other_bad_request
bq111,mitelman,False,0,0,,2,no_gold,0,19,True,False,False,True,unrecognized_column
bq279,austin,True,3279,2,bigquery-public-data.austin_bikeshare,1,partial,2,10,True,False,False,True,unrecognized_column
bq281,austin,True,478,1,bigquery-public-data.austin_bikeshare,1,gold_subset_of_pred,1,10,True,False,False,True,aggregation_error
bq282,austin,True,794,2,bigquery-public-data.austin_bikeshare,2,partial,2,10,True,False,False,True,other_bad_request
bq006,austin,True,778,1,bigquery-public-data.austin_incidents,1,no_overlap,1,10,True,False,False,True,function_signature
bq284,bbc,True,1937,1,bigquery-public-data.bbc_news,1,gold_subset_of_pred,1,1,True,False,True,True,exec_ok_but_rows_mismatch
bq413,dimensions_ai_covid19,True,451,7,bigquery-public-data.dimensions_ai_covid19|grid.address|p.book_series_title|p.book_title|p.journal|p.proceedings_title,3,partial,2,6,True,False,False,True,table_or_dataset_not_found
bq425,ebi_chembl,True,655,5,bigquery-public-data.ebi_chembl,5,no_overlap,5,785,True,False,False,True,table_or_dataset_not_found
bq430,ebi_chembl,True,4273,4,bigquery-public-data.ebi_chembl,3,partial,4,785,True,False,False,True,function_signature
bq023,fec,False,0,0,,2,no_gold,0,486,True,False,False,True,table_or_dataset_not_found
bq094,fec,False,0,0,,2,no_gold,0,486,True,False,False,False,syntax_error
bq287,fda,False,0,0,,2,no_gold,0,83,True,False,False,True,permission_denied
bq432,fda,False,0,0,,1,no_gold,0,83,True,False,True,True,exec_ok_but_rows_mismatch
bq285,fda,True,1071,4,bigquery-public-data.census_utility|bigquery-public-data.fdic_banks|bigquery-public-data.geo_us_boundaries,1,partial,4,83,True,False,True,True,exec_ok_but_rows_mismatch
bq288,fda,False,0,0,,1,no_gold,0,83,True,False,False,True,unrecognized_column
bq418,targetome_reactome,False,0,0,,4,no_gold,0,9,True,False,False,False,syntax_error
bq330,fda,True,1603,4,bigquery-public-data.census_utility|bigquery-public-data.fdic_banks|bigquery-public-data.geo_census_blockgroups|bigquery-public-data.geo_us_boundaries,2,partial,4,83,True,False,False,True,function_signature
bq398,world_bank,True,658,2,bigquery-public-data.world_bank_intl_debt,2,partial,2,21,True,False,True,True,exec_ok_but_rows_mismatch
bq399,world_bank,True,1087,3,DYN.CBRT|bigquery-public-data.world_bank_wdi,4,no_overlap,2,21,True,False,False,True,other_bad_request
bq457,libraries_io,False,0,0,,2,no_gold,0,7,True,False,False,True,other_bad_request
bq227,london,True,1772,1,bigquery-public-data.london_crime,1,gold_subset_of_pred,1,2,True,False,True,True,exec_ok_but_rows_mismatch
bq232,london,True,824,1,bigquery-public-data.london_crime,1,gold_subset_of_pred,1,2,True,True,True,True,EX_MATCH
bq228,london,True,547,1,bigquery-public-data.london_crime,1,gold_subset_of_pred,1,2,True,True,True,True,EX_MATCH
bq229,open_images,False,0,0,,2,no_gold,0,4,True,False,False,True,other:InternalServerError
bq230,usda_nass_agriculture,False,0,0,,1,no_gold,0,11,True,False,True,True,exec_ok_but_rows_mismatch
bq326,world_bank,False,0,0,,2,no_gold,0,21,True,False,False,True,other_bad_request
bq424,world_bank,True,525,3,AMT.DLXF|bigquery-public-data.world_bank_intl_debt,3,partial,2,21,True,False,False,True,other_bad_request
bq327,world_bank,True,821,2,bigquery-public-data.world_bank_intl_debt,1,no_overlap,2,21,True,False,False,True,table_or_dataset_not_found
bq328,world_bank,True,970,3,GDP.MKTP|bigquery-public-data.world_bank_wdi,2,no_overlap,2,21,True,False,False,True,syntax_error
bq393,hacker_news,False,0,0,,1,no_gold,0,1,True,False,False,True,syntax_error
bq403,irs_990,True,1495,1,bigquery-public-data.irs_990,1,no_overlap,0,18,True,False,False,True,function_signature
bq397,ecommerce,True,816,1,data-to-insights.ecommerce,1,gold_subset_of_pred,1,15,True,False,True,True,exec_ok_but_rows_mismatch
bq402,ecommerce,True,739,1,data-to-insights.ecommerce,1,gold_subset_of_pred,1,15,True,False,False,True,syntax_error
ga001,ga4,True,818,1,bigquery-public-data.ga4_obfuscated_sample_ecommerce,1,no_overlap,0,92,True,False,False,True,syntax_error
ga002,ga4,True,1473,1,bigquery-public-data.ga4_obfuscated_sample_ecommerce,1,no_overlap,0,92,True,False,False,True,function_signature
ga003,firebase,True,795,3,firebase-public-project.analytics_153293282|param.value,1,partial,1,114,True,False,True,True,exec_ok_but_rows_mismatch
ga004,ga4,True,768,1,bigquery-public-data.ga4_obfuscated_sample_ecommerce,1,no_overlap,0,92,True,False,False,True,syntax_error
ga008,ga4,True,566,1,bigquery-public-data.ga4_obfuscated_sample_ecommerce,1,no_overlap,0,92,True,False,False,True,syntax_error
ga017,ga4,True,676,2,bigquery-public-data.ga4_obfuscated_sample_ecommerce|event_params.value,1,no_overlap,0,92,True,False,False,True,table_or_dataset_not_found
ga007,ga4,False,0,0,,1,no_gold,0,92,True,False,True,True,exec_ok_but_rows_mismatch
ga013,ga4,False,0,0,,1,no_gold,0,92,True,False,True,True,exec_ok_but_rows_mismatch
ga018,ga4,True,4385,3,bigquery-public-data.ga4_obfuscated_sample_ecommerce|c.value,1,no_overlap,0,92,True,False,False,True,function_signature
ga032,ga4,False,0,0,,1,no_gold,0,92,True,False,True,True,exec_ok_but_rows_mismatch
ga031,ga4,False,0,0,,2,no_gold,0,92,True,False,False,True,other_bad_request
ga006,ga4,False,0,0,,1,no_gold,0,92,True,False,True,True,exec_ok_but_rows_mismatch
ga009,ga4,False,0,0,,2,no_gold,0,92,True,False,False,True,syntax_error
ga010,ga4,True,3336,1,bigquery-public-data.ga4_obfuscated_sample_ecommerce,1,no_overlap,0,92,True,False,False,True,syntax_error
ga014,ga4,False,0,0,,1,no_gold,0,92,True,False,False,True,syntax_error
ga011,ga4,False,0,0,,1,no_gold,0,92,True,False,False,True,unrecognized_column
ga012,ga4,True,853,1,bigquery-public-data.ga4_obfuscated_sample_ecommerce,1,no_overlap,1,92,True,False,False,True,other_bad_request
ga019,firebase,True,1135,1,firebase-public-project.analytics_153293282,3,no_overlap,0,114,True,False,False,True,other_bad_request
ga030,firebase,False,0,0,,1,no_gold,0,114,True,False,False,True,syntax_error
ga005,firebase,False,0,0,,1,no_gold,0,114,True,False,False,True,syntax_error
ga028,firebase,True,1985,1,firebase-public-project.analytics_153293282,1,no_overlap,0,114,True,False,False,True,syntax_error
ga020,firebase,True,3264,1,firebase-public-project.analytics_153293282,1,no_overlap,0,114,True,False,False,True,other_bad_request
ga021,firebase,True,3176,1,firebase-public-project.analytics_153293282,1,no_overlap,0,114,True,False,False,True,syntax_error
ga022,firebase,True,1624,1,firebase-public-project.analytics_153293282,1,no_overlap,0,114,True,False,False,True,syntax_error
ga025,firebase,False,0,0,,1,no_gold,0,114,True,False,False,True,function_signature
