instance_id,db_id,final_source,parses,all_known,executable,execution_match,exec_match_reason,rows_count,unknown_tables_n,has_join,has_groupby,has_subquery,has_window,has_unnest,has_with,bytes_billed,bytes_processed,lm_calls,latency_ms,completion_tokens,wall_time_s,candidate_count,repair_used,repair_success,repair_rounds,judge_invoked,judge_overrode,judge_chose,judge_confidence,error_type,error_message_short,bucket
bq270,ga360,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Unrecognized name: eCommerceAction at [12:9]; reason: invalidQuery, location: query, message: Un",0,,False,True,False,False,False,True,0,0,5,61884.84,924,64.89,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: eCommerceAction at [12:9,unrecognized_column
bq275,ga360,C0_direct,True,True,True,False,rows_mismatch_all_variants,0,,False,False,False,False,True,False,10485760,65087,3,39841.59,591,43.36,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq374,ga360,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 No matching signature for function DATE
  Argument types: INT64
  Signature: DATE(TIMESTAMP, [ST",0,,True,True,False,False,False,True,0,0,5,136206.18,2116,138.93,3,True,False,2,False,False,,0.0,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for function DATE
  A",function_signature
bq019,cms_data,C1_retrieval_docs,True,False,True,False,rows_mismatch_all_variants,3,,False,True,True,False,False,True,0,15286531,4,48106.43,718,51.38,3,False,False,0,True,True,C1_retrieval_docs,0.9,,,exec_ok_but_rows_mismatch
bq234,cms_data,C1_retrieval_docs,False,True,,False,exec_fail:BadRequest:400 Name distinct_users_non_lupa not found inside bigquery-public-data.cms_medicare.home_health_agen,0,,False,False,False,False,False,False,0,0,4,31009.8,423,32.84,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name distinct_users_non_lupa not found insi,other_bad_request
bq235,cms_data,C1_retrieval_docs,True,True,True,False,rows_mismatch_all_variants,1,,False,False,False,False,False,False,0,1939484,4,32002.51,469,35.19,3,False,False,0,True,True,C1_retrieval_docs,0.9,,,exec_ok_but_rows_mismatch
bq172,cms_data,C0_direct,True,False,True,False,rows_mismatch_all_variants,5,,False,True,True,False,False,True,0,866544269,4,53642.28,781,57.54,3,False,False,0,True,True,C0_direct,0.85,,,exec_ok_but_rows_mismatch
bq177,cms_data,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,5,,False,True,False,False,False,True,0,17262096,3,57249.26,870,61.06,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq354,cms_data,C0_direct,False,False,,False,"exec_fail:BadRequest:400 Unrecognized name: concept_relationship at [4:58]; reason: invalidQuery, location: query, messag",0,,True,True,True,False,True,True,0,0,5,95170.17,1441,97.75,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: concept_relationship at ,unrecognized_column
bq355,cms_data,C1_retrieval_docs,True,True,True,False,rows_mismatch_all_variants,1,,False,False,True,False,False,False,0,20469624,3,28266.23,403,31.17,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq032,noaa_data,C3_repaired,True,True,True,False,rows_mismatch_all_variants,1,,False,False,False,False,False,False,102760448,101954493,4,91665.08,1418,96.83,4,True,True,1,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq119,noaa_data,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Unrecognized name: prev_longitude at [28:20]; reason: invalidQuery, location: query, message: Un",0,,False,False,False,True,False,True,0,0,4,112542.92,1756,114.23,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: prev_longitude at [28:20,unrecognized_column
bq419,noaa_data,C1_retrieval_docs,True,False,True,False,rows_mismatch_all_variants,33,,False,True,False,True,False,True,10485760,24544,4,31311.1,440,34.37,3,False,False,0,True,False,C1_retrieval_docs,0.9,,,exec_ok_but_rows_mismatch
bq356,noaa_data,C2_cte_decomp,False,False,,False,exec_fail:NotFound:404 Not found: Table bigquery-public-data:noaa_gsod.gsod_2019 was not found in location US; reason: ,0,,False,True,False,False,False,True,0,0,5,56147.53,842,58.32,3,True,False,2,False,False,,0.0,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:noaa_,table_or_dataset_not_found
bq042,noaa_data,C1_retrieval_docs,False,True,,False,exec_fail:BadRequest:400 Unrecognized name: `bigquery-public-data.noaa_icoads.icoads_core_2011.source_id`; Did you mean b,0,,False,False,False,False,False,False,0,0,5,112609.7,1751,114.93,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: `bigquery-public-data.no,unrecognized_column
bq394,noaa_data,C2_cte_decomp,False,False,,False,exec_fail:BadRequest:400 Unrecognized name: wet_bulb_temperature; Did you mean wetbulb_temperature? at [5:9]; reason: inv,0,,False,True,False,False,False,True,0,0,4,85691.1,1323,87.34,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: wet_bulb_temperature; Di,unrecognized_column
bq357,noaa_data,C2_cte_decomp,True,False,False,False,exec_fail:BadRequest:400 GET https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/queries/,0,,False,True,False,False,False,True,0,0,3,38727.12,576,42.2,3,False,False,0,False,False,,0.0,BadRequest,400 GET https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/queries/78969d57-eaba-41c3-b278-7c814081cc5b?maxResults=1000&formatO,other_bad_request
bq181,noaa_data,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 bigquery-public-data:noaa_icoads.icoads_core_2022* does not match any table.; reason: invalid, m",0,,False,True,False,False,False,True,0,0,4,74979.81,1152,76.63,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: bigquery-public-data:noaa_icoads.icoads_cor,other_bad_request
bq045,noaa_data,C2_cte_decomp,False,False,,False,exec_fail:NotFound:404 Not found: Table bigquery-public-data:noaa_icoads.icoads_core_2002_2004 was not found in locatio,0,,False,True,False,False,False,True,0,0,5,95318.68,1473,98.89,3,True,False,2,False,False,,0.0,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:noaa_,table_or_dataset_not_found
bq290,noaa_data,C2_cte_decomp,True,False,False,False,exec_fail:InternalServerError:500 Query exceeded limit for bytes billed: 1000000000. 1115684864 or higher required.; reason: bytes,0,,False,True,False,False,False,True,0,0,3,72414.51,1113,107.43,3,False,False,0,False,False,,0.0,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 1115684864 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for bytes",other:InternalServerError
bq031,noaa_data,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Syntax error: Unexpected end of script at [48:90]; reason: invalidQuery, location: query, messag",0,,False,True,False,True,True,True,0,0,5,221890.94,3500,223.49,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Unexpected end of script at [,syntax_error
bq392,noaa_gsod,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,0,,False,True,False,False,False,True,0,0,4,28876.14,408,32.8,3,False,False,0,True,False,C2_cte_decomp,0.9,,,exec_ok_but_rows_mismatch
bq208,new_york_noaa,C2_cte_decomp,False,False,,False,exec_fail:NotFound:404 Not found: Table bigquery-public-data:noaa_gsod.gsod_stations was not found in location US; reas,0,,False,True,False,False,False,True,0,0,5,62278.39,928,66.02,3,True,False,2,False,False,,0.0,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:noaa_,table_or_dataset_not_found
bq047,new_york_noaa,C2_cte_decomp,False,False,,False,exec_fail:NotFound:404 Not found: Table bigquery-public-data:new_york.citywide_complaints was not found in location US;,0,,True,True,False,True,False,True,0,0,5,151377.16,2341,154.09,3,True,False,2,False,False,,0.0,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:new_y,table_or_dataset_not_found
bq048,new_york_noaa,C2_cte_decomp,False,False,,False,exec_fail:NotFound:404 Not found: Table bigquery-public-data:new_york.wind_data was not found in location US; reason: n,0,,True,True,False,True,False,True,0,0,4,93227.83,1417,95.25,3,True,False,1,False,False,,0.0,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:new_y,table_or_dataset_not_found
bq293,new_york_geo,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Name geometry not found inside z at [18:107]; reason: invalidQuery, location: query, message: Na",0,,False,True,False,True,False,True,0,0,5,217724.65,3395,220.88,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name geometry not found inside z at [18:107,other_bad_request
bq034,ghcn_d,C1_retrieval_docs,True,True,True,False,rows_mismatch_all_variants,457,,False,False,False,False,False,False,10485760,5841424,4,25799.88,391,28.78,3,False,False,0,True,False,C1_retrieval_docs,0.9,,,exec_ok_but_rows_mismatch
bq383,ghcn_d,C0_direct,True,False,False,False,exec_fail:BadRequest:400 GET https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/queries/,0,,False,True,False,False,False,True,0,0,3,55873.08,876,58.94,3,False,False,0,False,False,,0.0,BadRequest,400 GET https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/queries/8fbd4270-2023-4c4a-bee0-cbae7ca1fcdb?maxResults=1000&formatO,other_bad_request
bq051,new_york_ghcn,C2_cte_decomp,False,False,,,no_gold_exec_result,0,,True,True,False,False,False,True,0,0,3,83959.62,1281,86.02,3,True,False,1,False,False,,0.0,Forbidden,403 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Access Denied: Table bigquery-public-data:n,permission_denied
bq038,new_york,C2_cte_decomp,False,False,,False,exec_fail:BadRequest:400 Column end_station_id in USING clause not found on right side of join at [26:60]; reason: invali,0,,False,True,False,False,False,True,0,0,5,87348.72,1321,89.94,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Column end_station_id in USING clause not f,other_bad_request
bq053,new_york,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,7,,True,True,False,False,False,True,31457280,31329152,3,58779.32,896,62.01,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq054,new_york,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Name spc_common not found inside c at [47:5]; reason: invalidQuery, location: query, message: Na",0,,True,True,False,False,False,True,0,0,4,132000.51,2065,133.92,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name spc_common not found inside c at [47:5,other_bad_request
bq021,new_york,C0_direct,True,False,False,False,exec_fail:InternalServerError:500 Query exceeded limit for bytes billed: 1000000000. 8768192512 or higher required.; reason: bytes,0,,False,True,False,False,False,True,0,0,3,48276.81,717,50.62,3,False,False,0,False,False,,0.0,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 8768192512 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for bytes",other:InternalServerError
bq202,new_york_plus,C3_repaired,True,False,True,False,rows_mismatch_all_variants,1,,False,True,False,False,False,True,425721856,424869768,4,43067.51,632,46.95,4,True,True,1,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq185,new_york_plus,C1_retrieval_docs,True,True,False,False,exec_fail:InternalServerError:500 Query exceeded limit for bytes billed: 1000000000. 5246025728 or higher required.; reason: bytes,0,,False,False,False,False,False,False,0,0,4,33175.25,459,35.4,3,False,False,0,True,False,C1_retrieval_docs,0.95,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 5246025728 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for bytes",other:InternalServerError
bq040,new_york_plus,C2_cte_decomp,True,False,False,False,exec_fail:InternalServerError:500 Query exceeded limit for bytes billed: 1000000000. 1967128576 or higher required.; reason: bytes,0,,False,False,False,False,False,True,0,0,3,110308.41,1694,118.57,3,False,False,0,False,False,,0.0,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 1967128576 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for bytes",other:InternalServerError
bq098,new_york_plus,C0_direct,True,False,False,False,exec_fail:InternalServerError:500 Query exceeded limit for bytes billed: 1000000000. 16366174208 or higher required.; reason: byte,0,,False,True,False,False,False,True,0,0,3,101105.17,1540,103.45,3,False,False,0,False,False,,0.0,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 16366174208 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for byte",other:InternalServerError
bq039,new_york_plus,C0_direct,True,False,False,False,exec_fail:InternalServerError:500 Query exceeded limit for bytes billed: 1000000000. 2229272576 or higher required.; reason: bytes,0,,False,False,False,False,False,True,0,0,3,81965.43,1248,84.51,3,False,False,0,False,False,,0.0,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 2229272576 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for bytes",other:InternalServerError
bq203,new_york_plus,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,4,,False,True,False,False,False,True,31457280,1883438,4,55991.8,858,59.55,3,False,False,0,True,False,C2_cte_decomp,0.95,,,exec_ok_but_rows_mismatch
bq035,san_francisco,C1_retrieval_docs,True,True,True,False,rows_mismatch_all_variants,700,,False,False,False,False,False,False,16777216,15738368,4,30784.45,439,33.78,3,False,False,0,True,False,C1_retrieval_docs,0.9,,,exec_ok_but_rows_mismatch
bq186,san_francisco,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,37,,False,True,False,False,False,True,16777216,15738368,4,34576.19,490,37.65,3,False,False,0,True,True,C2_cte_decomp,0.9,,,exec_ok_but_rows_mismatch
bq081,san_francisco_plus,C3_repaired,True,True,True,False,rows_mismatch_all_variants,1000,,False,False,False,False,False,False,134217728,133567344,4,53107.9,790,61.13,4,True,True,1,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq339,san_francisco_plus,C0_direct,True,False,True,False,rows_mismatch_all_variants,1,,False,True,False,False,False,True,48234496,47291830,4,44736.98,637,47.87,3,False,False,0,True,True,C0_direct,0.9,,,exec_ok_but_rows_mismatch
bq400,san_francisco_plus,C1_retrieval_docs,False,True,,False,"exec_fail:BadRequest:400 Name stop_id not found inside v at [8:74]; reason: invalidQuery, location: query, message: Name ",0,,False,False,False,False,False,False,0,0,4,79070.06,1215,80.79,3,True,False,1,False,False,,0.0,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name stop_id not found inside v at [8:74]

",other_bad_request
bq059,san_francisco_plus,C0_direct,True,True,False,False,"exec_fail:BadRequest:400 division by zero: 2650 / 0; reason: invalidQuery, location: query, message: division by zero: 26",0,,False,False,False,False,False,False,0,0,3,24368.34,344,26.99,3,False,False,0,False,False,,0.0,BadRequest,"400 division by zero: 2650 / 0; reason: invalidQuery, location: query, message: division by zero: 2650 / 0; reason: invalidQuery, location: query, message: divi",other_bad_request
bq376,san_francisco_plus,C1_retrieval_docs,False,True,,False,"exec_fail:BadRequest:400 Name neighborhood not found inside bsi at [10:9]; reason: invalidQuery, location: query, message",0,,False,False,False,False,False,False,0,0,5,65806.89,1000,68.11,3,True,False,2,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name neighborhood not found inside bsi at [,other_bad_request
bq025,census_bureau_international,C3_repaired,True,False,True,False,rows_mismatch_all_variants,10,,False,True,False,False,False,True,0,4915656,4,79825.14,1247,84.02,4,True,True,1,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq115,census_bureau_international,C3_repaired,True,True,True,False,rows_mismatch_all_variants,1,,False,False,False,False,False,False,0,6598206,4,106058.11,1671,109.76,4,True,True,1,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq030,covid19_open_data,C1_retrieval_docs,True,True,True,False,rows_mismatch_all_variants,3,,False,False,False,False,False,False,0,561491504,3,28662.76,452,31.88,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq018,covid19_open_data,C0_direct,True,True,True,False,rows_mismatch_all_variants,1,,False,False,False,False,False,False,0,372878748,3,29347.07,464,32.61,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq086,covid19_open_world_bank,C0_direct,True,False,True,False,rows_mismatch_all_variants,0,,False,True,False,False,False,True,10485760,371692188,4,43370.11,643,46.94,3,False,False,0,True,True,C0_direct,0.9,,,exec_ok_but_rows_mismatch
bq085,covid19_jhu_world_bank,C2_cte_decomp,False,,,False,"exec_fail:BadRequest:400 Syntax error: Expected "")"" but got end of script at [92:82]; reason: invalidQuery, location: que",0,,False,False,False,False,False,True,0,0,5,216079.22,3419,217.7,3,True,False,2,False,False,,0.0,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Expected "")"" but got end of s",syntax_error
bq130,covid19_nyt,C1_retrieval_docs,True,False,True,False,rows_mismatch_all_variants,442,,False,True,False,True,False,True,0,116909690,4,81334.94,1303,84.24,3,False,False,0,True,True,C1_retrieval_docs,0.95,,,exec_ok_but_rows_mismatch
bq087,covid19_symptom_search,C1_retrieval_docs,True,False,True,False,rows_mismatch_all_variants,1,,False,True,False,False,False,True,0,66229298,3,52401.52,778,55.7,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq088,covid19_symptom_search,C3_repaired,True,False,True,False,rows_mismatch_all_variants,2,,False,True,False,True,False,True,0,92162,5,85298.56,1298,89.79,4,True,True,2,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq089,covid19_usa,C0_direct,True,True,True,False,rows_mismatch_all_variants,40,,False,False,False,False,False,False,0,12570,3,25857.0,312,30.27,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq407,covid19_usa,C2_cte_decomp,False,False,,False,exec_fail:NotFound:404 Not found: Dataset project-0e0fc8a5-27b1-4e00-912:bigquery-public-data was not found in location,0,,False,True,False,False,False,True,0,0,5,153296.84,2337,156.98,3,True,False,2,False,False,,0.0,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Dataset project-0e0fc8a5-27b1-4e,table_or_dataset_not_found
bq137,census_bureau_usa,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,0,,False,True,False,False,False,True,10485760,62483036,3,45027.84,670,48.61,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq060,census_bureau_international,C1_retrieval_docs,True,True,True,True,matched_variant,3,,False,False,False,False,False,False,0,471139,3,29219.19,439,32.47,3,False,False,0,False,False,,0.0,,,EX_MATCH
bq338,census_bureau_acs_1,C0_direct,True,False,True,False,rows_mismatch_all_variants,20,,False,True,False,True,False,True,0,2138261,3,84832.1,1252,89.96,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq061,census_bureau_acs_1,C3_repaired,True,True,True,False,rows_mismatch_all_variants,1,,False,True,False,False,False,False,0,3090922,5,69918.57,1012,76.16,4,True,True,2,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq064,census_bureau_acs_1,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Unrecognized name: income at [5:9]; reason: invalidQuery, location: query, message: Unrecognized",0,,False,True,False,False,False,True,0,0,5,101962.0,1516,108.64,3,True,False,2,False,False,,0.0,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: income at [5:9]

Locatio",unrecognized_column
bq461,ncaa_basketball,C1_retrieval_docs,False,True,,False,"exec_fail:BadRequest:400 Name away_name not found inside g at [14:11]; reason: invalidQuery, location: query, message: Na",0,,False,False,False,True,False,False,0,0,4,100978.5,1560,103.23,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name away_name not found inside g at [14:11,other_bad_request
bq198,ncaa_basketball,C1_retrieval_docs,True,False,True,False,rows_mismatch_all_variants,5,,False,True,False,False,False,True,10485760,2946896,3,54314.92,822,57.26,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq462,ncaa_basketball,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Column name venue_name is ambiguous at [3:5]; reason: invalidQuery, location: query, message: Co",0,,False,True,False,False,False,True,0,0,4,135693.78,2111,137.35,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Column name venue_name is ambiguous at [3:5,other_bad_request
bq427,ncaa_basketball,C1_retrieval_docs,False,True,,False,"exec_fail:BadRequest:400 No matching signature for operator < for argument types: TIMESTAMP, DATE
  Signature: T1 < T1
  ",0,,False,False,False,False,False,False,0,0,4,81928.05,1251,84.8,3,True,False,1,False,False,,0.0,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for operator < for ar,function_signature
bq428,ncaa_basketball,C1_retrieval_docs,True,False,True,False,rows_mismatch_all_variants,533,,False,True,False,False,False,True,389021696,388490100,3,78070.02,1191,82.52,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq144,ncaa_insights,C2_cte_decomp,True,False,True,False,rows_mismatch_all_variants,391,,False,False,False,False,False,True,31457280,175162,3,135977.48,2120,139.65,3,False,False,0,False,False,,0.0,,,exec_ok_but_rows_mismatch
bq113,bls,C2_cte_decomp,False,False,,False,"exec_fail:BadRequest:400 Unrecognized name: area_fips at [32:3]; reason: invalidQuery, location: query, message: Unrecogn",0,,False,True,True,False,False,True,0,0,5,122403.33,1813,126.4,3,True,False,2,False,False,,0.0,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: area_fips at [32:3]

Loc",unrecognized_column
