instance_id,db_id,bucket,parses,all_known,executable,execution_match,unknown_tables_n,unknown_columns_n,has_join,has_groupby,has_subquery,lm_calls,latency_ms,completion_tokens,bytes_billed,pred_table_refs_n,pred_datasets_n,pred_first_dataset,gen_sql_chars,final_source,error_type,error_message_short
bq270,ga360,function_signature,True,False,False,False,3,0,True,False,False,1,27191.82,443,0,4,3,bigquery-public-data.google_analytics_sample,1449,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for function DATE_TRU
bq275,ga360,exec_ok_but_rows_mismatch,True,False,True,False,3,0,True,True,False,1,15916.64,258,10485760,1,1,bigquery-public-data.google_analytics_sample,866,C0_anchor,,
bq374,ga360,other_bad_request,True,False,False,False,3,0,True,False,True,1,20745.83,337,0,2,2,bigquery-public-data.google_analytics_sample,1059,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Table ""SubsequentPurchases"" must be qualifi"
bq019,cms_data,aggregation_error,True,False,False,False,2,1,False,True,True,1,11799.25,190,0,1,1,bigquery-public-data.cms_medicare,670,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: ORDER BY clause expression references colum
bq234,cms_data,table_or_dataset_not_found,True,False,False,False,1,2,False,True,False,1,4559.18,70,0,1,1,bigquery-public-data.cms_medicare,217,C0_anchor,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:cms_m
bq235,cms_data,function_signature,True,False,False,False,0,1,True,False,False,1,7966.2,127,0,3,2,bigquery-public-data.cms_medicare,462,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for operator = for ar
bq172,cms_data,other_bad_request,True,False,False,False,1,2,False,True,False,1,5548.71,86,0,1,1,cms_data.claims,255,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Invalid project ID 'cms_data'. Project IDs 
bq177,cms_data,other_bad_request,True,False,False,False,4,6,True,True,True,1,19546.06,318,0,2,1,bigquery-public-data.cms_medicare,1169,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Column name provider_id is ambiguous at [13
bq354,cms_data,table_or_dataset_not_found,True,False,False,False,3,4,True,True,False,1,13581.17,219,0,2,2,bigquery-public-data.cms_codes,761,C0_anchor,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Dataset project-0e0fc8a5-27b1-4e
bq355,cms_data,table_or_dataset_not_found,True,False,False,False,1,2,False,False,False,1,4104.4,63,0,0,0,,182,C0_anchor,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Dataset project-0e0fc8a5-27b1-4e
bq032,noaa_data,unrecognized_column,True,False,False,False,0,6,False,False,True,1,6346.71,98,0,1,1,bigquery-public-data.noaa_gsod,303,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: longitude1 at [3:27]

Lo"
bq119,noaa_data,exec_ok_but_rows_mismatch,True,False,True,False,1,1,False,True,False,1,6723.51,104,144703488,1,1,bigquery-public-data.noaa_gsod,312,C0_anchor,,
bq419,noaa_data,bytes_billed_exceeded,True,False,False,False,3,3,False,True,False,1,10684.25,170,0,1,1,bigquery-public-data.noaa_gsod,497,C0_anchor,BadRequest,400 GET https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/queries/5699e78b-a1a1-45b1-8f27-77f74c8dbb84?maxResults=200&formatOp
bq356,noaa_data,exec_ok_but_rows_mismatch,True,False,True,False,4,0,True,True,True,1,19654.19,317,10485760,1,1,bigquery-public-data.noaa_gsod,916,C0_anchor,,
bq042,noaa_data,function_signature,True,False,False,False,8,0,False,False,False,1,49036.78,800,0,8,1,bigquery-public-data.noaa_gsod,2239,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for aggregate functio
bq394,noaa_data,other_bad_request,True,False,False,False,2,6,True,True,False,1,21225.95,344,0,6,1,bigquery-public-data.noaa_gsod,952,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Column name year is ambiguous at [17:5]

Lo"
bq357,noaa_data,permission_denied,True,False,False,False,1,5,False,True,False,1,7090.05,111,0,1,1,bigquery-public-data.icoads_core,272,C0_anchor,Forbidden,403 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Access Denied: Table bigquery-public-data:i
bq181,noaa_data,exec_ok_but_rows_mismatch,True,False,True,False,4,2,True,True,False,1,20092.04,325,160432128,1,1,bigquery-public-data.noaa_gsod,883,C0_anchor,,
bq045,noaa_data,other_bad_request,True,False,False,False,4,1,True,True,True,1,17663.51,285,0,2,1,bigquery-public-data.noaa_gsod,724,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Column name prcp is ambiguous at [9:6]

Loc"
bq290,noaa_data,syntax_error,False,False,False,False,0,0,False,False,False,1,49026.99,800,0,5,1,bigquery-public-data.noaa_gsod,2340,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Expected "")"" but got end of s"
bq031,noaa_data,syntax_error,False,False,False,False,0,0,False,False,False,1,49136.74,800,0,1,1,bigquery-public-data.noaa_gsod,2309,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Expected "")"" but got end of s"
bq392,noaa_gsod,exec_ok_but_rows_mismatch,True,False,True,False,1,2,False,True,False,1,5499.9,85,109051904,1,1,bigquery-public-data.noaa_gsod,210,C0_anchor,,
bq208,new_york_noaa,table_or_dataset_not_found,True,False,False,False,1,0,False,False,False,1,8957.09,142,0,1,1,bigquery-public-data.new_york,334,C0_anchor,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:new_y
bq047,new_york_noaa,syntax_error,False,False,False,False,0,0,False,False,False,1,49104.87,800,0,14,2,bigquery-public-data.new_york,2488,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Unclosed identifier literal a
bq048,new_york_noaa,table_or_dataset_not_found,True,False,False,False,5,5,True,True,False,1,23477.12,383,0,1,1,bigquery-public-data.new_york,1260,C0_anchor,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:new_y
bq293,new_york_geo,syntax_error,False,False,False,False,0,0,False,False,False,1,49155.46,800,0,2,2,bigquery-public-data.geo_us_boundaries,2874,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Unexpected end of script at [
bq034,ghcn_d,table_or_dataset_not_found,True,False,False,False,1,3,False,False,False,1,4566.11,73,0,1,1,bigquery-public-data.ghcn_d,169,C0_anchor,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:ghcn_
bq383,ghcn_d,other_bad_request,True,False,False,False,0,1,True,True,False,1,20640.62,338,0,8,1,bigquery-public-data.ghcn_d,880,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Column name id is ambiguous at [16:3]

Loca"
bq051,new_york_ghcn,permission_denied,True,False,False,,6,4,True,True,False,1,31824.77,522,0,10,3,bigquery-public-data.geo,1483,C0_anchor,Forbidden,403 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Access Denied: Table bigquery-public-data:g
bq038,new_york,function_signature,True,False,False,False,2,1,True,True,False,1,16338.78,265,0,2,1,bigquery-public-data.new_york,863,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for operator = for ar
bq053,new_york,other_bad_request,True,True,False,False,0,0,True,True,True,1,13350.95,215,0,0,0,,695,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Table ""tree_census_1995"" must be qualified "
bq054,new_york,aggregation_error,True,False,False,False,0,1,False,True,False,1,9528.25,152,0,1,1,bigquery-public-data.new_york,475,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Multi-level aggregation requires the enclos
bq021,new_york,other:InternalServerError,True,False,False,False,2,0,True,True,False,1,13689.65,221,0,2,1,bigquery-public-data.new_york,737,C0_anchor,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 5289017344 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for bytes"
bq202,new_york_plus,exec_ok_but_rows_mismatch,True,False,True,False,0,3,False,True,False,1,7335.45,117,425721856,1,1,bigquery-public-data.new_york_citibike,326,C0_anchor,,
bq185,new_york_plus,function_signature,True,False,False,False,0,1,False,False,True,1,10660.84,171,0,2,1,bigquery-public-data.new_york_taxi_trips,572,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Function not found: DATEDIFF; Did you mean 
bq040,new_york_plus,unrecognized_column,True,False,False,False,2,5,False,True,False,1,26828.06,434,0,1,1,bigquery-public-data.new_york_taxi_trips,1316,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: pickup_borough at [9:9]
"
bq098,new_york_plus,other:InternalServerError,True,True,False,False,0,0,True,True,True,1,17916.39,289,0,2,1,bigquery-public-data.new_york_taxi_trips,841,C0_anchor,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 16366174208 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for byte"
bq039,new_york_plus,other_bad_request,True,True,False,False,0,0,True,False,False,1,24964.94,407,0,2,1,bigquery-public-data.new_york_taxi_trips,1135,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name pickup_zone not found inside tzg at [2
bq203,new_york_plus,exec_ok_but_rows_mismatch,True,False,True,False,2,3,False,True,False,1,10700.75,172,10485760,1,1,bigquery-public-data.new_york_subway,685,C0_anchor,,
bq035,san_francisco,exec_ok_but_rows_mismatch,True,True,True,False,0,0,True,True,False,1,6071.54,96,20971520,2,1,bigquery-public-data.san_francisco,294,C0_anchor,,
bq186,san_francisco,exec_ok_but_rows_mismatch,True,False,True,False,0,1,False,True,False,1,8043.65,128,16777216,1,1,bigquery-public-data.san_francisco,411,C0_anchor,,
bq081,san_francisco_plus,function_signature,True,True,False,False,0,0,True,False,False,1,10060.85,162,0,3,1,bigquery-public-data.san_francisco_bikeshare,502,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for operator = for ar
bq339,san_francisco_plus,exec_ok_but_rows_mismatch,True,False,True,False,0,2,False,True,False,1,8849.79,141,48234496,1,1,bigquery-public-data.san_francisco_bikeshare,417,C0_anchor,,
bq400,san_francisco_plus,function_signature,True,True,False,False,0,0,True,True,False,1,12744.8,205,0,3,1,bigquery-public-data.san_francisco_transit_muni,632,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for operator = for ar
bq059,san_francisco_plus,unrecognized_column,True,False,False,False,0,3,False,False,True,1,6142.0,97,0,1,1,bigquery-public-data.san_francisco_bikeshare,282,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: TRIP_DISTANCE at [9:5]

"
bq376,san_francisco_plus,unrecognized_column,True,True,False,False,0,0,True,True,False,1,11230.32,181,0,2,2,bigquery-public-data.san_francisco_bikeshare,603,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name name not found inside b at [2:5]

Loca"
bq025,census_bureau_international,other_bad_request,True,False,False,False,0,1,True,True,False,1,21588.47,350,0,2,1,bigquery-public-data.census_bureau_international,1171,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name midyear_population not found inside m 
bq115,census_bureau_international,other_bad_request,True,False,False,False,0,1,True,True,False,1,13277.61,213,0,2,1,bigquery-public-data.census_bureau_international,718,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name midyear_population not found inside m 
bq030,covid19_open_data,exec_ok_but_rows_mismatch,True,False,True,False,0,1,False,False,False,1,6422.8,100,0,1,1,bigquery-public-data.covid19_open_data,293,C0_anchor,,
bq018,covid19_open_data,exec_ok_but_rows_mismatch,True,False,True,False,0,1,False,True,False,1,7138.67,112,0,1,1,bigquery-public-data.covid19_open_data,306,C0_anchor,,
bq086,covid19_open_world_bank,permission_denied,True,True,False,False,0,0,True,False,False,1,6518.65,102,0,2,2,bigquery-public-data.covid19_open_data,317,C0_anchor,Forbidden,403 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Access Denied: Table bigquery-public-data:w
bq085,covid19_jhu_world_bank,permission_denied,True,False,False,False,1,0,True,True,False,1,11746.94,181,0,2,2,bigquery-public-data.covid19_jhu_csse,543,C0_anchor,Forbidden,403 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Access Denied: Table bigquery-public-data:w
bq130,covid19_nyt,other_bad_request,True,False,False,False,2,4,True,True,True,1,29388.55,484,0,1,1,bigquery-public-data.covid19_nyt,1318,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Table ""us_counties"" must be qualified with "
bq087,covid19_symptom_search,function_signature,True,False,False,False,1,2,False,True,False,1,17434.71,283,0,1,1,bigquery-public-data.covid19_symptom_search,734,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for function DATE_TRU
bq088,covid19_symptom_search,function_signature,True,False,False,False,3,7,False,True,True,1,28292.51,462,0,1,1,bigquery-public-data.covid19_symptom_search,1215,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for function DATE_TRU
bq089,covid19_usa,unrecognized_column,True,False,False,False,1,2,False,False,False,1,4721.74,71,0,1,1,bigquery-public-data.census_bureau_acs,177,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: State at [6:3]

Location"
bq407,covid19_usa,table_or_dataset_not_found,True,False,False,False,2,0,True,False,False,1,17274.05,276,0,3,2,bigquery-public-data.census_bureau_acs,664,C0_anchor,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:usa_n
bq137,census_bureau_usa,function_signature,True,True,False,False,0,0,True,True,False,1,11750.86,189,0,2,2,bigquery-public-data.census_bureau_usa,586,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Function not found: GEOGRAPHY at [16:16]

L"
bq060,census_bureau_international,EX_MATCH,True,True,True,True,0,0,True,False,False,1,6532.68,102,0,2,1,bigquery-public-data.census_bureau_international,353,C0_anchor,,
bq338,census_bureau_acs_1,table_or_dataset_not_found,True,False,False,False,1,9,False,True,True,1,17906.27,287,0,1,1,bigquery-public-data.census_bureau_acs,790,C0_anchor,NotFound,404 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Not found: Table bigquery-public-data:censu
bq061,census_bureau_acs_1,unrecognized_column,True,False,False,False,0,1,False,False,False,1,3286.26,47,0,1,1,bigquery-public-data.census_bureau_acs,140,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: state at [3:7]

Location"
bq064,census_bureau_acs_1,permission_denied,True,False,False,False,4,1,True,True,False,1,17390.61,276,0,4,2,bigquery-public-data.geo_usa,851,C0_anchor,Forbidden,403 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Access Denied: Table bigquery-public-data:g
bq461,ncaa_basketball,other_bad_request,True,True,False,False,0,0,True,False,False,1,9303.3,148,0,1,1,bigquery-public-data.ncaa_basketball,452,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name scoreboard_events not found inside g a
bq198,ncaa_basketball,exec_ok_but_rows_mismatch,True,False,True,False,0,1,False,True,True,1,8707.87,139,10485760,1,1,bigquery-public-data.ncaa_basketball,429,C0_anchor,,
bq462,ncaa_basketball,other_bad_request,True,False,False,False,4,1,False,False,False,1,26378.25,428,0,1,1,bigquery-public-data.ncaa_basketball,1458,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Column 4 in UNION ALL has incompatible type
bq427,ncaa_basketball,unrecognized_column,True,False,False,False,0,3,False,True,False,1,12210.7,194,0,1,1,bigquery-public-data.ncaa_basketball,618,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: shot_type at [15:7]

Loc"
bq428,ncaa_basketball,other_bad_request,True,True,False,False,0,0,True,True,False,1,15104.01,242,0,2,1,bigquery-public-data.ncaa_basketball,699,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name round not found inside g at [5:7]

Loc"
bq144,ncaa_insights,syntax_error,True,False,False,False,2,2,True,False,False,1,29213.1,473,0,3,1,data-to-insights.ncaa,1620,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Syntax error: Unexpected keyword TO at [18:
bq113,bls,other_bad_request,True,False,False,False,1,1,True,True,True,1,16272.26,261,0,0,0,,639,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name year not found inside t1 at [16:8]

Lo"
bq112,bls,other_bad_request,True,True,False,False,0,0,True,False,False,1,13391.34,214,0,1,1,bigquery-public-data.bls,543,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name year not found inside e at [9:43]

Loc"
bq055,google_dei,unrecognized_column,True,False,False,False,0,3,False,True,True,1,34218.04,561,0,1,1,bigquery-public-data.bls,2334,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: percent_white at [7:32]
"
bq075,google_dei,unrecognized_column,True,False,False,False,0,1,True,False,False,1,14280.98,232,0,3,1,bigquery-public-data.bls,805,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Name area_name not found inside wm at [20:5
bq406,google_dei,unrecognized_column,True,False,False,False,1,5,False,True,True,1,12660.67,202,0,1,1,bigquery-public-data.usa_names,611,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Unrecognized name: race_ethnicity at [16:7]
bq022,chicago,aggregation_error,True,True,False,False,0,0,False,False,False,1,6741.69,110,0,1,1,bigquery-public-data.chicago_taxi_trips,326,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Window ORDER BY expression references colum
bq362,chicago,other:InternalServerError,True,False,False,False,2,3,False,True,False,1,11188.8,184,0,1,1,bigquery-public-data.chicago_taxi_trips,644,C0_anchor,InternalServerError,"500 Query exceeded limit for bytes billed: 1000000000. 6283067392 or higher required.; reason: bytesBilledLimitExceeded, message: Query exceeded limit for bytes"
bq363,chicago,function_signature,True,False,False,False,0,1,False,True,False,1,6882.08,112,0,1,1,bigquery-public-data.chicago_taxi_trips,301,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for function LPAD
  A"
bq076,chicago,aggregation_error,True,True,False,False,0,0,False,True,False,1,3716.95,60,0,1,1,bigquery-public-data.chicago_crime,186,C0_anchor,BadRequest,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Multi-level aggregation requires the enclos
bq077,chicago,exec_ok_but_rows_mismatch,True,False,True,False,0,1,False,True,False,1,6553.9,107,240123904,1,1,bigquery-public-data.chicago_crime,304,C0_anchor,,
bq109,open_targets_genetics_1,permission_denied,True,False,False,False,0,3,False,False,True,1,14848.33,239,0,1,1,open-targets-genetics.genetics,593,C0_anchor,Forbidden,403 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: Access Denied: Table open-targets-genetics:
bq090,CYMBAL_INVESTMENTS,function_signature,True,True,False,False,0,0,True,False,False,1,10721.04,177,0,1,1,bigquery-public-data.cymbal_investments,506,C0_anchor,BadRequest,"400 POST https://bigquery.googleapis.com/bigquery/v2/projects/project-0e0fc8a5-27b1-4e00-912/jobs?prettyPrint=false: No matching signature for operator -
  Argu"
bq442,CYMBAL_INVESTMENTS,exec_ok_but_rows_mismatch,True,True,True,False,0,0,False,False,False,1,8332.67,136,97517568,1,1,bigquery-public-data.cymbal_investments,424,C0_anchor,,
