baseline_family,run_prefix,reuse_decision,reason
b0,b0_llama_3p1_8b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.13333333333333333)
b2v2,b2v2_llama_3p1_8b_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b2v2,b2v2_llama_3p1_8b_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b2v2,b2v2_llama_3p1_8b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b2v2,b2v2_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b2v2,b2v2_qwen2p5_coder_14b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b2v2,b2v2_qwen2p5_coder_14b_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.9)
b2v2,b2v2_qwen2p5_coder_14b_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b2v2,b2v2_qwen2p5_coder_14b_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.88)
b2v2,b2v2_qwen2p5_coder_14b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b2v2,b2v2_qwen2p5_coder_7b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b2v2,b2v2_qwen2p5_coder_7b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b2v2,b2v2_qwen_qwen2.5_7b_instruct_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.16666666666666666)
b2v2,b2v2_qwen_qwen2.5_7b_instruct_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.7333333333333333)
b2v2,b2v2_qwen_qwen2.5_7b_instruct_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.88)
b2v2,b2v2_qwen_qwen2.5_7b_instruct_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b2v2,b2v2_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b2v2,b2v2_spider_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.96)
b3,b3_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b3v1,b3v1_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.4666666666666667)
b3v1,b3v1_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.3)
b3v2,b3v2_llama_3p1_8b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.13333333333333333)
b3v2,b3v2_llama_3p1_8b_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.6666666666666666)
b3v2,b3v2_llama_3p1_8b_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b3v2,b3v2_llama_3p1_8b_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.76)
b3v2,b3v2_llama_3p1_8b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b3v2,b3v2_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.7333333333333333)
b3v2,b3v2_qwen2p5_coder_14b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b3v2,b3v2_qwen2p5_coder_14b_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.8333333333333334)
b3v2,b3v2_qwen2p5_coder_14b_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=1.0)
b3v2,b3v2_qwen2p5_coder_14b_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.92)
b3v2,b3v2_qwen2p5_coder_14b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b3v2,b3v2_qwen2p5_coder_7b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b3v2,b3v2_qwen2p5_coder_7b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b3v2,b3v2_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b3v2,b3v2_spider_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.96)
b4,b4_final_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.4666666666666667)
b4,b4_final_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.3)
b4,b4_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b4v2,b4v2_llama_3p1_8b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.13333333333333333)
b4v2,b4v2_llama_3p1_8b_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.6333333333333333)
b4v2,b4v2_llama_3p1_8b_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b4v2,b4v2_llama_3p1_8b_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.76)
b4v2,b4v2_llama_3p1_8b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b4v2,b4v2_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.7333333333333333)
b4v2,b4v2_qwen2p5_coder_14b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b4v2,b4v2_qwen2p5_coder_14b_multidb30,reuse_as_is,completed before v7; numbers authoritative (EX=0.8666666666666667)
b4v2,b4v2_qwen2p5_coder_14b_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=1.0)
b4v2,b4v2_qwen2p5_coder_14b_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.88)
b4v2,b4v2_qwen2p5_coder_14b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b4v2,b4v2_qwen2p5_coder_7b_bird_minidev_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.2)
b4v2,b4v2_qwen2p5_coder_7b_spider2lite_30,reuse_as_is,completed before v7; numbers authoritative (EX=0.0)
b4v2,b4v2_spider_smoke10,reuse_as_is,completed before v7; numbers authoritative (EX=0.8)
b4v2,b4v2_spider_smoke25,reuse_as_is,completed before v7; numbers authoritative (EX=0.96)
